entertainment,city,postcode,housenumber,street,state,address2,longitude,latitude
440 Gallery,New York,11215,440,6th Avenue,New York,"440 6th Avenue, New York, NY 11215, United States of America",-73.9843548,40.6677841
Producers Club Theaters and Bar,New York,10036,358,West 44th Street,New York,"358 West 44th Street, New York, NY 10036, United States of America",-73.9914437,40.7595017
Al Hirschfeld Theatre,New York,10036,302,West 45th Street,New York,"302 West 45th Street, New York, NY 10036, United States of America",-73.98921084892254,40.75925315
,Union City,07307,,Willie Wolf Way,New Jersey,"Union City, NJ 07307, United States of America",-74.04191937763301,40.75248985
Music Box Theatre,New York,10036,239,West 45th Street,New York,"239 West 45th Street, New York, NY 10036, United States of America",-73.98715082609624,40.7588721
Imperial Theater,New York,10036,249,West 45th Street,New York,"249 West 45th Street, New York, NY 10036, United States of America",-73.98712159475774,40.75912265
Loew's Jersey Theatre,Jersey City,07306,54,Magnolia Avenue,New Jersey,"54 Magnolia Avenue, Jersey City, NJ 07306, United States of America",-74.06466024386884,40.73241495
Upright Citizens Brigade Theatre,New York,10036,555,West 42nd Street,New York,"555 West 42nd Street, New York, NY 10036, United States of America",-73.997433,40.7606764
Richard Rodgers Theatre,New York,10036,226,West 46th Street,New York,"226 West 46th Street, New York, NY 10036, United States of America",-73.98674788284762,40.7590309
New Dramatists Theater,New York,10036,424,West 44th Street,New York,"424 West 44th Street, New York, NY 10036, United States of America",-73.9929292,40.7601215
Artshack Gallery,New York,11216,1127,Bedford Avenue,New York,"1127 Bedford Avenue, New York, NY 11216, United States of America",-73.9540482,40.6849455
Artshack Brooklyn,New York,11216,1131,Bedford Avenue,New York,"1131 Bedford Avenue, New York, NY 11216, United States of America",-73.9540236,40.6848308
Lucky Strike Social,New York,10036,624-660,West 42nd Street,New York,"624-660 West 42nd Street, New York, NY 10036, United States of America",-74.00096669089544,40.761452750000004
Lunt-Fontanne Theatre,New York,10036,205,West 46th Street,New York,"205 West 46th Street, New York, NY 10036, United States of America",-73.98590151622378,40.759166199999996
Palace Theater,New York,10019,1564,Broadway,New York,"1564 Broadway, New York, NY 10019, United States of America",-73.9846166,40.7589003
Old Hickory Playground,New York,11109,,51st Avenue,New York,"51st Avenue, New York, NY 11109, United States of America",-73.95350113320106,40.741744249999996
Lena Horne Theatre,New York,10036,256,West 47th Street,New York,"256 West 47th Street, New York, NY 10036, United States of America",-73.98696639245696,40.759975299999994
Firefighters' Memorial Park,Union City,07087,,Palisade Avenue,New Jersey,"Palisade Avenue, Union City, NJ 07087, United States of America",-74.03549551288178,40.7570041
John Hancock Playground,New York,11216,90,Jefferson Avenue,New York,"90 Jefferson Avenue, New York, NY 11216, United States of America",-73.95427980084187,40.6825137
Andrews Grove,New York,11101,,49th Avenue,New York,"49th Avenue, New York, NY 11101, United States of America",-73.9547304,40.74336925
James Earl Jones Theatre,New York,10036,138,West 48th Street,New York,"138 West 48th Street, New York, NY 10036, United States of America",-73.98308983674377,40.75910345
Barrymore Theatre,New York,10036,243,West 47th Street,New York,"243 West 47th Street, New York, NY 10036, United States of America",-73.98613511549917,40.76012215
LOL Times Square Comedy Club,New York,10036,711,7th Avenue,New York,"711 7th Avenue, New York, NY 10036, United States of America",-73.9841594,40.7595077
Samuel J. Friedman Theatre,New York,10036,261,West 47th Street,New York,"261 West 47th Street, New York, NY 10036, United States of America",-73.98672760862351,40.760380749999996
Qlty-Life,New York,11222,240,Norman Avenue,New York,"240 Norman Avenue, New York, NY 11222, United States of America",-73.9435804,40.7274414
Longacre Theatre,New York,10036,220,West 48th Street,New York,"220 West 48th Street, New York, NY 10036, United States of America",-73.98596871886012,40.760317799999996
Shoestring Press,New York,11238,640,Classon Avenue,New York,"640 Classon Avenue, New York, NY 11238, United States of America",-73.9591247,40.6779938
Underpenny Museum Antique & Collectables,New York,11101,10-13,50th Avenue,New York,"10-13 50th Avenue, New York, NY 11101, United States of America",-73.9533895,40.7427467
Walter Kerr Theatre,New York,10019,219,West 48th Street,New York,"219 West 48th Street, New York, NY 10019, United States of America",-73.98558466016627,40.760681
FGD Gallery,New York,11215,535A,6th Avenue,New York,"535A 6th Avenue, New York, NY 11215, United States of America",-73.9864917,40.6647365
Eden Fine Art,New York,10017,437,Madison Avenue,New York,"437 Madison Avenue, New York, NY 10017, United States of America",-73.9755331,40.7576183
Estudio,New York,11215,547,6th Avenue,New York,"547 6th Avenue, New York, NY 11215, United States of America",-73.9866873,40.6645051
Eugene O'Neill Theatre,New York,10019,230,West 49th Street,New York,"230 West 49th Street, New York, NY 10019, United States of America",-73.98574035074438,40.76110465
Standing Room Comedy Club,New York,11101,47-42,Vernon Boulevard,New York,"47-42 Vernon Boulevard, New York, NY 11101, United States of America",-73.9537173,40.7443976
Almira Kennedy Coursey Amphitheater,New York,11221,,Lafayette Avenue,New York,"Lafayette Avenue, New York, NY 11221, United States of America",-73.9461521837587,40.68993315
Seed Brklyn Garden,New York,11216,1221,Bedford Avenue,New York,"1221 Bedford Avenue, New York, NY 11216, United States of America",-73.9533292,40.6815848
Ambassador Theatre,New York,10019,219,West 49th Street,New York,"219 West 49th Street, New York, NY 10019, United States of America",-73.98499032873778,40.761235549999995
Radio City Music Hall,New York,10019,,West 50th Street,New York,"West 50th Street, New York, NY 10019, United States of America",-73.97927905642854,40.7598116
Fountain Gallery,New York,10036,,West 48th Street,New York,"West 48th Street, New York, NY 10036, United States of America",-73.989593,40.7622461
Carolines on Broadway,New York,10019,1626,Broadway,New York,"1626 Broadway, New York, NY 10019, United States of America",-73.9840413,40.7610777
Boccara Art,New York,11232,198,24th Street,New York,"198 24th Street, New York, NY 11232, United States of America",-73.99897341726826,40.6616832
Under Minerva,New York,11232,656,5th Avenue,New York,"656 5th Avenue, New York, NY 11232, United States of America",-73.9925617,40.6623816
Hootenanny Art Annex,New York,11215,413A,7th Avenue,New York,"413A 7th Avenue, New York, NY 11215, United States of America",-73.9836595,40.6641605
Winter Garden Theatre,New York,10019,1634,Broadway,New York,"1634 Broadway, New York, NY 10019, United States of America",-73.98350453470516,40.7616856
Brooklyn Acting Lab,New York,11215,1012,8th Avenue,New York,"1012 8th Avenue, New York, NY 11215, United States of America",-73.9802626,40.6650257
Gershwin Theatre,New York,10019,222,West 51st Street,New York,"222 West 51st Street, New York, NY 10019, United States of America",-73.98520439435569,40.76236185
Intrepid Museum,New York,10036,86,West 46th Street,New York,"86 West 46th Street, New York, NY 10036, United States of America",-73.99959742508054,40.76459735
New World Stages,New York,10019,340,West 50th Street,New York,"340 West 50th Street, New York, NY 10019, United States of America",-73.9875604858187,40.7627588
My Gallery NYC,New York,11216,587,Franklin Avenue,New York,"587 Franklin Avenue, New York, NY 11216, United States of America",-73.9549768,40.6784206
Circle in the Square Theatre,New York,10019,222,West 51st Street,New York,"222 West 51st Street, New York, NY 10019, United States of America",-73.9853553,40.7622484
Open Source Gallery,New York,11215,306,17th Street,New York,"306 17th Street, New York, NY 11215, United States of America",-73.98922590000001,40.66232895
Brooklyn Museum,New York,11238,200,Eastern Parkway,New York,"200 Eastern Parkway, New York, NY 11238, United States of America",-73.96331573047141,40.6709108
Gasworks,New York,11215,673,5th Avenue,New York,"673 5th Avenue, New York, NY 11215, United States of America",-73.9927882,40.6617519
Winter Garden Theatre,New York,10019,,8th Avenue,New York,"8th Avenue, New York, NY 10019, United States of America",-73.9856852,40.7625759
Paley Center for Media,New York,10019,25,West 52nd Street,New York,"25 West 52nd Street, New York, NY 10019, United States of America",-73.97759186591774,40.76058114999999
Wendy's Subway,New York,11207,379,Bushwick Avenue,New York,"379 Bushwick Avenue, New York, NY 11207, United States of America",-73.9380343,40.7038545
Plaxall Gallary,New York,11101,5-25,46th Avenue,New York,"5-25 46th Avenue, New York, NY 11101, United States of America",-73.9541761,40.7474953
The Ear,New York,11206,255,Boerum Street,New York,"255 Boerum Street, New York, NY 11206, United States of America",-73.9373827,40.7065583
Neil Simon Theater,New York,10019,250,West 52nd Street,New York,"250 West 52nd Street, New York, NY 10019, United States of America",-73.98451975713795,40.7630257
Slope Park Playground,New York,11218,,19th Street,New York,"19th Street, New York, NY 11218, United States of America",-73.98947773577743,40.661304349999995
Lucky Cheng's,New York,10019,242,West 52nd Street,New York,"242 West 52nd Street, New York, NY 10019, United States of America",-73.9842271,40.7629935
Vector Gallery,New York,11211,951,Grand Street,New York,"951 Grand Street, New York, NY 11211, United States of America",-73.93649,40.7131304
Abe Art,New York,11238,660,Franklin Avenue,New York,"660 Franklin Avenue, New York, NY 11238, United States of America",-73.9563203,40.6756787
August Wilson Theatre,New York,10019,245,West 52nd Street,New York,"245 West 52nd Street, New York, NY 10019, United States of America",-73.98419335493764,40.763373
MoMA,New York,10019,11,West 53rd Street,New York,"11 West 53rd Street, New York, NY 10019, United States of America",-73.97749918210806,40.761612400000004
The Gutter,New York,11101,10-22,46th Avenue,New York,"10-22 46th Avenue, New York, NY 11101, United States of America",-73.9518102,40.7465899
Broadway Theatre,New York,10019,1681,Broadway,New York,"1681 Broadway, New York, NY 10019, United States of America",-73.98335504506701,40.76339815
Museum of Modern Art (MoMA) films,New York,10019,11,West 53rd Street,New York,"11 West 53rd Street, New York, NY 10019, United States of America",-73.9778136,40.7616338
Five Myles,New York,11238,558,Saint Johns Place,New York,"558 Saint Johns Place, New York, NY 11238, United States of America",-73.95959207149748,40.67265505
Soft Surplus,New York,11211,366,Devoe Street,New York,"366 Devoe Street, New York, NY 11211, United States of America",-73.935577,40.7136163
Bowl Rite,Union City,07047,,8th Street,New Jersey,"8th Street, Union City, NJ 07047, United States of America",-74.0429421,40.7585937
Grand Central Atelier,New York,11101,46-06,11th Street,New York,"46-06 11th Street, New York, NY 11101, United States of America",-73.9505609,40.7463401
Ed Sullivan Theater,New York,10019,,Broadway,New York,"Broadway, New York, NY 10019, United States of America",-73.9828612,40.7637921
Ziegfeld Ballroom,New York,10019,141,West 54th Street,New York,"141 West 54th Street, New York, NY 10019, United States of America",-73.9798333,40.7630368
The Bandshell,New York,11215,62,West Drive,New York,"62 West Drive, New York, NY 11215, United States of America",-73.97672064035963,40.66337235
Transfer Gallery,New York,11211,1030,Metropolitan Avenue,New York,"1030 Metropolitan Avenue, New York, NY 11211, United States of America",-73.93498,40.7142739
Hootenanny Art House,New York,11215,428,15th Street,New York,"428 15th Street, New York, NY 11215, United States of America",-73.9819584,40.6618916
